traffic,scenario,walker_scale,real_time,max_memory
--traffic point_to_point_eos --traffic-scale 10000,walker,1,13:37.89,2071436
--traffic point_to_point_eos --traffic-scale 10000,walker,2,18:56.76,1919060
--traffic point_to_point_eos --traffic-scale 10000,walker,4,28:45.96,1691672
--traffic point_to_point_eos --traffic-scale 10000,walker,8,49:07.54,1528252
--traffic point_to_point_eos --traffic-scale 10000,walker,16,1:30:15,1494732
--traffic point_to_point_eos --traffic-scale 10000,walker_large,1,1:46:10,2229616
--traffic point_to_point_eos --traffic-scale 10000,walker_large,2,1:59:46,1585240
--traffic point_to_point_eos --traffic-scale 10000,walker,1,13:14.79,2073172
--traffic point_to_point_eos --traffic-scale 10000,walker,2,18:05.56,1920232
--traffic point_to_point_eos --traffic-scale 10000,walker_large,4,2:33:52,1315980
--traffic point_to_point_eos --traffic-scale 10000,walker,4,27:33.71,1690872
--traffic point_to_point_eos --traffic-scale 10000,walker,8,48:17.09,1529104
--traffic point_to_point_eos --traffic-scale 10000,walker,16,1:30:41,1494520
--traffic point_to_point_eos --traffic-scale 10000,walker_large,8,3:31:01,1469424
--traffic point_to_point_eos --traffic-scale 10000,walker_large,1,1:45:58,2229064
--traffic point_to_point_eos --traffic-scale 10000,walker_large,2,1:59:31,1584616
--traffic point_to_point_eos --traffic-scale 10000,walker_large,4,2:33:27,1316076
--traffic point_to_point_eos --traffic-scale 10000,walker,1,13:20.12,2073736
--traffic point_to_point_eos --traffic-scale 10000,walker_large,16,6:00:54,1896412
--traffic point_to_point_eos --traffic-scale 10000,walker,2,18:30.12,1919824
--traffic point_to_point_eos --traffic-scale 10000,walker,4,28:25.93,1691428
--traffic point_to_point_eos --traffic-scale 10000,walker,8,48:57.44,1529684
--traffic point_to_point_eos --traffic-scale 10000,walker_large,8,3:34:44,1465988
--traffic point_to_point_eos --traffic-scale 10000,walker,16,1:31:10,1495716
--traffic point_to_point_eos --traffic-scale 10000,walker_large,1,1:46:27,2229756
--traffic point_to_point_eos --traffic-scale 10000,walker_large,2,1:59:28,1584220
--traffic point_to_point_eos --traffic-scale 10000,walker_large,4,2:33:39,1316000
--traffic point_to_point_eos --traffic-scale 10000,walker_large,16,6:01:49,1904976
--traffic point_to_point_eos --traffic-scale 10000,walker_large,8,3:29:44,1467944
--traffic point_to_point_eos --traffic-scale 10000,walker_large,16,5:47:03,1899704
